paper_id,title,authors,year,venue,doi,publication_type,subdomains,formal_framework,mathematical_formalism,key_contribution,methodology,discusses_internal_representations,discusses_schema_coherence,relevance_sigma_trap,relevance_justification,limitations_stated,open_questions,key_equations_definitions,datasets_used,sample_size,effect_sizes,citation_count,evidence_basis,notes
P1240,Scaling Up AI Alignment,"Singh, A",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 46",,opinion,value alignment; ethics; capabilities,none,optimization,,not_applicable,no,no,3,,no,,,,,,,full-text,ft_file=Scaling Up AI Alignment.pdf
P1241,Generalizing Alignment Paradigm of Text-to-Image Generation with Preferences Through f-Divergence Minimization,"Sun, HY; Xia, B; Chang, YZ; Wang, XQ",2025,"THIRTY-NINTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-25, VOL 39 NO 26",,empirical,value alignment; robustness; ethics,game theory; information theory,probability; optimization,,experiment,no,no,3,,no,,,,,,,full-text,ft_file=Generalizing Alignment Paradigm of Text-to-Image Generation with Preferences Through f-Divergence Minimization.pdf
P1242,SEAL: Systematic Error Analysis for Value ALignment,"Revel, M; Cargnelutti, M; Eloundou, T; Leppert, G",2025,"THIRTY-NINTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-25, VOL 39 NO 26",,empirical,value alignment; robustness; ethics; capabilities,none,optimization,,experiment,no,no,5,,yes,,,,,,,full-text,ft_file=SEAL: Systematic Error Analysis for Value ALignment.pdf
P1243,Back to Basics: Revisiting REINFORCE-Style Optimization for Learning from Human Feedback in LLMs,"Ahmadian, A; Cremer, C; Gallé, M; Fadee, M; Kreutzerl, J; Pietquin, O; Üstün, A; Hooker, S",2024,"PROCEEDINGS OF THE 62ND ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",,other,value alignment; robustness; ethics,none,probability; optimization,,not_applicable,no,no,3,,no,,,,,,,full-text,ft_file=Back to Basics Revisiting REINFORCE-Style Optimization for Learning from Human Feedback in LLMs.pdf
P1244,KorNAT: LLM Alignment Benchmark for Korean Social Values and Common Knowledge,"Lee, J; Kim, M; Kim, S; Kim, J; Won, S; Lee, H; Choi, E",2024,FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: ACL 2024,,empirical,value alignment; ethics,none,probability,,analysis,no,no,3,,no,,,,,,,full-text,ft_file=KorNAT LLM Alignment Benchmark for Korean Social Values and Common Knowledge.pdf
P1245,Second Thoughts are Best: Learning to Re-AlignWith Human Values from Text Edits,"Liu, RB; Jia, CY; Zhang, G; Zhuang, ZY; Liu, TX; Vosoughi, S",2022,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 35 (NEURIPS 2022),,empirical,value alignment; interpretability,none,none,,experiment,no,no,4,,no,,,,,,,abstract,
P1246,"Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models","Bereska, L; Gavves, E",2023,"PROCEEDINGS OF THE INAUGURAL 2023 SUMMER SYMPOSIUM SERIES 2023, VOL 1 NO 1",,empirical,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none,probability; optimization,,simulation,yes,no,5,,no,,,,,,,full-text,"ft_file=Taming Simulators: Challenges, Pathways and Vision for the Alignment of Large Language Models.pdf"
P1247,Nothing ComesWithout Its World - Practical Challenges of Aligning LLMs to Situated Human Values through RLHF,"Arzberger, A; Buijsman, S; Lupetti, ML; Bozzon, A; Yang, J",2024,"PROCEEDINGS OF THE SEVENTH AAAI/ACM CONFERENCE ON AI, ETHICS, AND SOCIETY, AIES-24, VOL 7 NO 1",,opinion,value alignment; ethics,none,none,,not_applicable,no,no,4,,yes,,,,,,,abstract,
P1248,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,"Alehdaghi, M; Bhattacharya, R; Shamsolmoali, P; Cruz, RMO; Heritier, M; Granger, E",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 44",,empirical,value alignment; interpretability; robustness; governance; ethics,none,optimization,,theory,yes,no,4,,yes,,,,,,,full-text,ft_file=Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI.pdf
P1249,"Leveraging Human Input to Enable Robust, Interactive, and Aligned AI Systems","Brown, DS",2025,"THIRTY-NINTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-25, VOL 39 NO 27",,other,value alignment; robustness; ethics,none,probability; optimization,,not_applicable,no,no,3,,no,,,,,,,full-text,"ft_file=Leveraging Human Input to Enable Robust, Interactive, and Aligned AI Systems.pdf"
P125,Ethical Decision-making with AI: Value Alignment and the Role of Reasoning,"Khanna, S.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i48.42156,other,value alignment,none,none,,not_applicable,no,no,3,,no,,,,,,0,abstract,
P1250,Composable Assurance for AI Alignment: A Framework for Propagating Formal Safety Properties Through MLOps,"Zhao, XF",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 44",,empirical,interpretability; robustness,other,none,,case study,yes,no,3,,no,,,,,,,abstract,
P1251,Autonomous Policy Explanations for Effective Human-Machine Teaming,"Tabrez, A",2024,"THIRTY-EIGTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 38 NO 21",,other,value alignment; interpretability; robustness; capabilities,information theory; other,probability; optimization,,not_applicable,no,no,3,,partially,,,,,,,full-text,ft_file=Autonomous Policy Explanations for Effective Human-Machine Teaming.pdf
P1252,Attribution Analysis-based Concept Alignment: A Human-in-the-loop Data Debugging Framework,"Chai, L; Qi, L; Sun, HL; Zhang, J; Xu, JX",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 21",,empirical,value alignment; interpretability; ethics,none,none,,experiment,no,no,4,,no,,,,,,,abstract,
P1253,High-Dimension Human Value Representation in Large Language Models,"Cahyawijaya, S; Chen, DL; Bang, YJ; Khalatbari, L; Wilie, B; Ji, ZW; Ishii, E; Fung, P",2025,"PROCEEDINGS OF THE 2025 CONFERENCE OF THE NATIONS OF THE AMERICAS CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES, VOL 1: LONG PAPERS",,other,value alignment; interpretability; robustness; governance; ethics; capabilities,information theory; other,probability; optimization,,not_applicable,yes,no,3,,no,,,,,,,full-text,ft_file=High-Dimension Human Value Representation in Large Language Models.pdf
P1254,Cultural Learning-Based Culture Adaptation of Language Models,"Liu, CC; Korhonen, A; Gurevych, I",2025,"PROCEEDINGS OF THE 63RD ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",,review,value alignment,none,none,,not_applicable,no,no,3,,no,,,,,,,abstract,
P1255,Can Brain Signals Reveal Inner Alignment with Human Languages?,"Han, W; Qiu, JL; Zhu, JC; Xu, MD; Weber, D; Li, B; Zhao, D",2023,FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS - EMNLP 2023,,empirical,value alignment; robustness; mesa-optimization,none,probability; optimization,,experiment,yes,no,3,,no,,,,,,,full-text,ft_file=Can Brain Signals Reveal Inner Alignment with Human Languages.pdf
P1256,"Contractual AI: Toward More Aligned, Transparent, and Robust Dialogue Agents","Bates, CJ; Bose, R; Keeney, RG; Kazakova, VA",2023,"PROCEEDINGS OF THE 2023 AAAI FALL SYMPOSIA, VOL 2 NO 1",,position,value alignment; robustness; ethics,none,none,,not_applicable,no,no,3,,no,,,,,,,abstract,
P1257,Synthesis and Properties of Optimally Value-Aligned Normative Systems,"Montes, N; Sierra, C",2022,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,,other,value alignment; interpretability; governance; ethics,game theory; other,probability; optimization,,not_applicable,yes,no,4,,partially,,,,,,,full-text,ft_file=Synthesis and Properties of Optimally Value-Aligned Normative Systems.pdf
P1258,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation,"Jin, HR; Li, M; Wang, XT; Xu, ZH; Huang, ML; Jia, YT; Lian, DF",2025,"PROCEEDINGS OF THE 63RD ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",,empirical,value alignment; interpretability; governance; ethics; capabilities,other,probability; optimization,,experiment,yes,no,3,,no,,,,,,,full-text,ft_file=Internal Value Alignment in Large Language Models through Controlled Value Vector Activation.pdf
P1259,"One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity","Murthy, SK; Ullman, T; Hu, J",2025,"PROCEEDINGS OF THE 2025 CONFERENCE OF THE NATIONS OF THE AMERICAS CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES, VOL 1: LONG PAPERS",,other,value alignment; interpretability; robustness; ethics,none,probability; logic,,not_applicable,no,no,3,,yes,,,,,,,full-text,"ft_file=One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity.pdf"
P126,AI ageism and its consequence: Benevolent ageist attitudes expressed by LLMs could reinforce ageism in humans,"Chen, Z.; Liu, C.; Ren, Y.; Song, G.; Zhang, X.",2025,Computers in Human Behavior Reports,10.1016/j.chbr.2025.100827,other,value alignment; robustness; governance; ethics; capabilities,none,none,,not_applicable,no,no,3,,partially,,,,,,4,full-text,ft_file=AI ageism and its consequence: Benevolent ageist attitudes expressed by LLMs could reinforce ageism in humans.pdf
P1260,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection,"Luo, X; Yang, L; Zhang, H; Tu, G; Wang, QL; Ding, KY; Fan, C; Li, J; Xu, RF",2025,"THIRTY-NINTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-25, VOL 39 NO 23",,empirical,value alignment; ethics,none,probability,,experiment,no,no,3,,no,,,,,,,full-text,ft_file=BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection.pdf
P1261,FGD-Align: Pluralistic Alignment for Large Language Models via Fuzzy Group Decision-Making,"Pan, WH; Yu, ZX; Wu, Y; Liang, X; Jin, ZM; Fu, Q; Shang, PH; Lin, BB; He, XF; Ye, JP",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 21",,empirical,value alignment; robustness,none,probability; optimization,,experiment,no,no,4,,no,,,,,,,abstract,
P1262,Identical Human Preference Alignment Paradigm for Text -to -Image Models,"Sun, HY; Xia, B; Zhao, YF; Chang, YZ; Wang, XQ",2025,"2025 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)",,empirical,value alignment; ethics; capabilities,information theory,probability; optimization,,experiment,no,no,3,,no,,,,,,,full-text,ft_file=Identical Human Preference Alignment Paradigm for Text-to-Image Models.pdf
P1263,Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models,"Li, CG; Zhang, HY; Xu, YK; Xue, HY; Ao, X; He, Q",2025,"PROCEEDINGS OF THE 63RD ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",,empirical,value alignment; robustness; capabilities,information theory; other,probability; logic; optimization,,theory,no,no,3,,no,,,,,,,full-text,ft_file=Gradient-Adaptive Policy Optimization: Towards Multi-Objective Alignment of Large Language Models.pdf
P1264,An Empirical Study of Instruction-tuning Large Language Models in Chinese,"Si, QY; Wang, T; Lin, Z; Zhang, X; Cao, YN; Wang, WP",2023,FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS - EMNLP 2023,,empirical,value alignment; ethics; capabilities,none,none,,experiment,no,no,4,,no,,,,,,,full-text,ft_file=An Empirical Study of Instruction-tuning Large Language Models in Chinese.pdf
P1265,AI safety: state of the field through quantitative lens,"Juric, M; Sandic, A; Brcic, M",2020,"2020 43RD INTERNATIONAL CONVENTION ON INFORMATION, COMMUNICATION AND ELECTRONIC TECHNOLOGY (MIPRO 2020)",,review,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none,probability; optimization,,not_applicable,no,no,3,,yes,,,,,,,full-text,ft_file=AI safety state of the field through quantitative lens.pdf
P1266,Chat Vector: A Simple Approach to Equip LLMs with Instruction Following and Model Alignment in New Languages,"Huang, SC; Li, PZ; Hsu, YC; Chen, KM; Lin, YT; Hsiao, SK; Tsai, RTH; Lee, HY",2024,"PROCEEDINGS OF THE 62ND ANNUAL MEETING OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS, VOL 1: LONG PAPERS",,empirical,value alignment; capabilities,none,optimization,,experiment,no,no,3,,yes,,,,,,,full-text,ft_file=Chat Vector: A Simple Approach to Equip LLMs with Instruction Following and Model Alignment in New Languages.pdf
P1267,Measuring Error Alignment for Decision-Making Systems,"Xu, BX; Bikakis, A; Onah, DFO; Vlachidis, A; Dickens, L",2025,"THIRTY-NINTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-25, VOL 39 NO 26",,position,value alignment; robustness,none,probability,,not_applicable,yes,no,3,,no,,,,,,,full-text,ft_file=Measuring Error Alignment for Decision-Making Systems.pdf
P1268,Human-Compatible AI and AI-Powered Science: Insights from AAAI Spring Symposium and Beyond,"Kido, T",2025,"PROCEEDINGS OF THE 2025 AAAI SPRING SYMPOSIUM SERIES, VOL 5 NO 1",,other,value alignment; interpretability; ethics,none,none,,not_applicable,no,no,3,,no,,,,,,,abstract,
P127,ResVaRe: Parameter-efficient fine-tuning for large language models via cross-layer residual vector adaptation and representation editing,"Wang, Y.; Li, Y.; Wang, Y.",2026,Neural Networks,10.1016/j.neunet.2026.109273,empirical,value alignment; robustness; ethics; capabilities,none,optimization,,not_applicable,yes,no,3,,yes,,,,,,0,full-text,ft_file=ResVaRe: Parameter-efficient fine-tuning for large language models via cross-layer residual vector adaptation and representation editing.pdf
P128,Roadmap on Incentive Compatibility for AI Alignment and Governance in Sociotechnical Systems,"Zhang, Z.; Bai, F.; Wang, M.; Ye, H.; Ma, C.; Yang, Y.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-00800-8_33,other,value alignment; robustness; governance; ethics; capabilities,game theory,probability; optimization,,not_applicable,no,no,4,,no,,,,,,2,full-text,ft_file=Roadmap on Incentive Compatibility for AI Alignment and Governance in Sociotechnical Systems.pdf
P129,Theory of Mind as a Core Component of Artificial General Intelligence,"Schneider, H.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-00800-8_16,empirical,value alignment,none,none,,experiment,no,no,4,,no,,,,,,0,abstract,
P130,"Agents, Alignment, and the Many Faces of Autonomy","Fischli, R.; Franklin, M.; Manzini, A.; Gabriel, I.",2026,Minds and Machines,10.1007/s11023-026-09786-9,other,value alignment; robustness; governance; ethics; capabilities,none,none,,not_applicable,no,no,4,,yes,,,,,,0,full-text,"ft_file=Agents, Alignment, and the Many Faces of Autonomy.pdf"
P131,Metacognition of ChatGPT in confidence judgements,"Yoshizawa, S.; Onzo, A.; Nozawa, S.; Takano, T.; Ishikawa, T.; Mogi, K.",2026,Frontiers in Artificial Intelligence,10.3389/frai.2026.1694192,other,value alignment; interpretability; robustness; ethics; capabilities,information theory,probability,,not_applicable,no,no,3,,yes,,,,,,0,full-text,ft_file=Metacognition of ChatGPT in confidence judgements.pdf
P132,Cloud Platforms in Transition: AI Agents as Intelligent Intermediaries Disrupting the Traditional Saas Subscription Model,"Khan, S.; Sharma, S.",2026,"Proceedings of 5th International Conference on Communication, Computing and Electronics Systems, ICCCES 2026",10.1109/ICCCES62661.2026.11437322,empirical,value alignment; interpretability; robustness; governance; ethics; capabilities,none,probability; logic; optimization,,experiment,no,no,3,,no,,,,,,0,full-text,ft_file=Cloud Platforms in Transition: AI Agents as Intelligent Intermediaries Disrupting the Traditional Saas Subscription Model.pdf
P133,Optimising multi-value alignment: a multi-objective evolutionary strategy for normative multi-agent systems,"Riad, M.; de Carvalho, V.R.; Golpayegani, F.",2025,Neural Computing and Applications,10.1007/s00521-024-10625-0,empirical,value alignment; governance; ethics,decision theory,logic; optimization,,experiment,no,no,3,,yes,,,,,,0,full-text,ft_file=Optimising multi-value alignment: a multi-objective evolutionary strategy for normative multi-agent systems.pdf
P134,On AI Alignment and the Later Wittgenstein: a Response To Sorin Bangu,"Pérez-Escobar, J.A.; Sarikaya, D.",2025,Philosophy and Technology,10.1007/s13347-025-00993-3,other,value alignment; interpretability; robustness; governance; ethics,none,probability; logic,,not_applicable,no,no,3,,yes,,,,,,0,full-text,ft_file=On AI Alignment and the Later Wittgenstein: a Response To Sorin Bangu.pdf
P135,Transparent by Design: Ensuring Safety in Agentic AI Through Decision Traceability,"Radanliev, P.",2026,Ethical AI and Data Science: Building Trustworthy and Transparent Systems,10.1201/9781003657804-1,review,value alignment; interpretability; robustness; governance,none,none,,not_applicable,yes,no,5,,partially,,,,,,0,abstract,
P136,Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,"Alehdaghi, M.; Bhattacharya, R.; Shamsolmoali, P.; Cruz, R.M.O.; Heritier, M.; Granger, E.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i44.41052,empirical,value alignment; interpretability; robustness,none,none,,experiment,yes,no,4,,no,,,,,,0,abstract,
P137,Culturally-Grounded Multi-dimensional Alignment of LLMs with Chinese Social Values,"Han, L.; Xu, Y.; Qian, Y.",2026,Communications in Computer and Information Science,10.1007/978-981-95-8525-0_14,empirical,value alignment; ethics; capabilities,none,optimization,,experiment,no,no,3,,no,,,,,,0,abstract,
P138,Flow-Multi: A Flow-Matching Multi-Reward Framework for Text-to-Image Generation,"Lee, J.; Choi, J.",2026,Sensors,10.3390/s26041120,empirical,value alignment; interpretability; robustness,dynamical systems; information theory,ODEs; probability; optimization,,experiment,no,related concept,5,,no,,,,,,0,full-text,ft_file=Flow-Multi: A Flow-Matching Multi-Reward Framework for Text-to-Image Generation.pdf
P139,"Different Models, Different Values: Educational Preference Structures across Alignment Methodologies in Large Language Models","Autenrieth, D.",2026,"International Conference on Computer Supported Education, CSEDU - Proceedings",10.5220/0014949500004021,other,value alignment; interpretability; governance,decision theory,optimization,,not_applicable,no,no,4,,no,,,,,,0,full-text,"ft_file=Different Models, Different Values: Educational Preference Structures across Alignment Methodologies in Large Language Models.pdf"
P140,Four Settings and a Proposal for the Exploration of Value Alignment in AI,"Noriega, P.; Plaza, E.",2026,"Law, Governance and Technology Series",10.1007/978-3-032-13063-1_13,empirical,value alignment; robustness; governance; ethics; capabilities,none,logic,,simulation,no,no,4,,no,,,,,,0,full-text,ft_file=Four Settings and a Proposal for the Exploration of Value Alignment in AI.pdf
P141,Preserving the Integrity of Evidence-Based Social Work in the Age of AI: A Proposed Ethical Framework,"Ricciardelli, L.A.; Loy, A.; Bantry-White, E.",2026,Journal of Evidence-Based Social Work (United States),10.1080/26408066.2025.2587092,other,value alignment; interpretability; governance; ethics; capabilities,none,logic,,not_applicable,no,no,3,,no,,,,,,1,full-text,ft_file=Preserving the Integrity of Evidence-Based Social Work in the Age of AI: A Proposed Ethical Framework.pdf
P142,Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment,"Hassoon, A.; Lin, C.; Woo, H.Y.; Irimia, R.; Marsteller, J.A.; Li, A.; Banderia, A.; Leo, H.; Peng, X.; Rastall, D.; Dredze, M.",2025,Annals of Epidemiology,10.1016/j.annepidem.2025.11.004,other,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,,not_applicable,yes,no,4,,no,,,,,,6,full-text,ft_file=Guiding artificial intelligence in public health and medicine with epidemiology: A lifecycle framework for mitigating AI misalignment.pdf
P143,CircuChain: Disentangling Competence and Compliance in LLM Circuit Analysis,"Ravishankara, M.",2026,Conference Proceedings - IEEE SOUTHEASTCON,10.1109/SoutheastCon63549.2026.11476399,empirical,value alignment; interpretability; robustness; governance; capabilities,none,none,,experiment,yes,related concept,4,,no,,,,,,0,full-text,ft_file=CircuChain: Disentangling Competence and Compliance in LLM Circuit Analysis.pdf
P144,Differences in Alignment Behavior between Single-Agent and Multi-Agent LLM Systems: Implications for Human-AI Teaming,"Hermann, A.; Tomé-Moreira, C.; Werner, M.",2026,Communications in Computer and Information Science,10.1007/978-3-032-30836-8_39,empirical,value alignment; interpretability; robustness; ethics; capabilities,none,none,,simulation,no,no,4,,yes,,,,,,0,full-text,ft_file=Differences in Alignment Behavior between Single-Agent and Multi-Agent LLM Systems Implications for Human-AI Teaming.pdf
P145,How smart companions reshape psychological well-being in later life: the role of artificial intelligence technology in mental health during senior years,"Luan, B.; Li, Y.",2026,BMC Public Health,10.1186/s12889-026-26328-1,other,value alignment; interpretability; robustness; governance; ethics,none,probability; optimization,,not_applicable,no,no,3,,no,,,,,,3,full-text,ft_file=How smart companions reshape psychological well-being in later life: the role of artificial intelligence technology in mental health during senior years.pdf
P146,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models,"Wang, W.; Guo, H.; Lv, Z.; Zhang, S.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i40.40656,empirical,value alignment; capabilities,none,probability; optimization,,experiment,no,no,4,,no,,,,,,0,abstract,
P147,Networked Two-Way Communication Channels (NTCC): A Dynamic Semantic Indexing Framework for UI Design and AI Alignment,"Chong, L.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-13184-3_10,review,value alignment; interpretability,information theory,probability; logic,,not_applicable,yes,no,3,,yes,,,,,,0,full-text,ft_file=Networked Two-Way Communication Channels (NTCC): A Dynamic Semantic Indexing Framework for UI Design and AI Alignment.pdf
P148,"‘Systematic Alignment Decay’: a robust, technology-agnostic hazard associated with the advancement and proliferation of artificial intelligence","Kelters, B.",2026,AI and Society,10.1007/s00146-026-03055-0,other,value alignment; robustness; governance; ethics; capabilities,game theory,none,,not_applicable,no,no,3,,yes,,,,,,0,full-text,"ft_file=‘Systematic Alignment Decay’: a robust, technology-agnostic hazard associated with the advancement and proliferation of artificial intelligence.pdf"
P149,Beyond Chat: A Design Strategy for Enhancing Alignment Between User Requirements and AI Support in Online Decision-Making,"Zheng, Z.; You, W.; Shao, Y.; Zhou, M.; Zhao, X.; Ye, Y.; Lu, Y.; Zhou, Z.; Sun, L.",2026,International Journal of Human-Computer Interaction,10.1080/10447318.2026.2623219,other,value alignment; interpretability,none,none,,not_applicable,no,no,3,,no,,,,,,1,abstract,
P150,"The Alignment Target Problem: Divergent Moral Judgments of Humans, AI Systems, and Their Designers","Chen, B.M.; Xie, X.",2026,"ACM FAccT 2026 - Proceedings of the 9th annual ACM Conference on Fairness, Accountability, and Transparency",10.1145/3805689.3812297,empirical,value alignment; interpretability; governance; ethics,none,logic; optimization,,experiment,no,related concept,4,,no,,,,,,0,full-text,"ft_file=The Alignment Target Problem: Divergent Moral Judgments of Humans, AI Systems, and Their Designers.pdf"
P151,An Identity Based Agent Model for AI Value Alignment,"Sama, K.; Chhabra, J.; Malavalli, A.S.; Deshmukh, J.; Srinivasa, S.",2026,Lecture Notes in Computer Science,10.1007/978-3-032-07638-0_23,empirical,value alignment; interpretability; robustness; ethics; capabilities,other,probability; optimization,,simulation,no,related concept,4,,yes,,,,,,0,full-text,ft_file=An Identity Based Agent Model for AI Value Alignment.pdf
P152,An Explainable HCI-Based Decision Support Framework for Human-AI Co-Design,"Zhu, L.; Xie, Y.; Xiang, N.; Chen, G.",2026,Applied Sciences (Switzerland),10.3390/app16084007,review,value alignment; interpretability; robustness; governance; ethics; capabilities,none,optimization,,not_applicable,no,no,3,,yes,,,,,,2,full-text,ft_file=An Explainable HCI-Based Decision Support Framework for Human-AI Co-Design.pdf
P153,Granularity paradox: how emotion taxonomies shape GPT-5’s affective cognition and human-AI alignment,"Zhang, F.; Chen, J.",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1786724,review,value alignment; interpretability; robustness; ethics; capabilities,none,probability; logic; optimization,,not_applicable,no,no,4,,yes,,,,,,0,full-text,ft_file=Granularity paradox: how emotion taxonomies shape GPT-5's affective cognition and human-AI alignment.pdf
P154,Training Child Helpline Counselors with Value-Integrated Chat Simulations,"Al Owayyed, M.; Brinkman, W.-P.; Guan, K.W.; Keijsers, L.; Tielman, M.L.",2026,International Journal of Human-Computer Interaction,10.1080/10447318.2026.2645437,empirical,value alignment; interpretability,none,probability,,simulation,no,no,3,,no,,,,,,0,full-text,ft_file=Training Child Helpline Counselors with Value-Integrated Chat Simulations.pdf
P155,Specify Privacy Yourself: Assessing Inference-Time Personalized Privacy Preservation Ability of Large Vision-Language Models,"Wang, X.; Yi, X.; Xie, X.; Jia, J.",2025,"MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025",10.1145/3746027.3758156,empirical,value alignment; interpretability; ethics; capabilities,other,probability; optimization,,experiment,yes,no,3,,yes,,,,,,0,full-text,ft_file=Specify Privacy Yourself: Assessing Inference-Time Personalized Privacy Preservation Ability of Large Vision-Language Models.pdf
P156,"A Two-Step, Multidimensional Account of Deception in Language Models","Dung, L.",2026,Erkenntnis,10.1007/s10670-025-01017-4,empirical,value alignment; robustness; mesa-optimization; ethics,none,probability; optimization,,theory,yes,no,3,,yes,,,,,,0,full-text,"ft_file=A Two-Step, Multidimensional Account of Deception in Language Models.pdf"
P157,Towards an Axiology of Intelligent Hybrid Systems,"Toboso-Martín, M.",2026,"Law, Governance and Technology Series",10.1007/978-3-032-13063-1_12,other,value alignment; governance,other,none,,not_applicable,no,no,4,,no,,,,,,0,full-text,ft_file=Towards an Axiology of Intelligent Hybrid Systems.pdf
P158,Scaling Up AI Alignment,"Singh, A.",2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i46.41335,opinion,value alignment; ethics,none,none,,not_applicable,no,no,3,,no,,,,,,0,abstract,
P159,Adaptive Quine Structures for Metacognitive Evolution in Large Language Models: A Functional Framework with Gödelian Bounds and Illustrative Applications,"Saghiri, A.M.",2026,Mathematics,10.3390/math14132371,empirical,value alignment; interpretability; robustness; governance,information theory,probability; logic,,experiment,no,no,3,,no,,,,,,0,full-text,ft_file=Adaptive Quine Structures for Metacognitive Evolution in Large Language Models: A Functional Framework with Gödelian Bounds and Illustrative Applications.pdf
P160,Learning the value systems of agents with preference-based and inverse reinforcement learning,"Holgado-Sánchez, A.; Billhardt, H.; Fernández, A.; Ossowski, S.",2026,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-026-09732-0,review,value alignment; interpretability; ethics,decision theory; other,optimization,,not_applicable,no,no,3,,yes,,,,,,0,full-text,ft_file=Learning the value systems of agents with preference-based and inverse reinforcement learning.pdf
P161,VC-Soup: Value-Consistency Guided Multi-Value Alignment for Large Language Models,"Xu, H.; Wu, L.; Wang, Y.; Hou, M.; Wu, H.; Zhang, Z.; Wang, M.",2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,10.1145/3774904.3793058,empirical,value alignment; robustness; ethics,decision theory,probability; optimization,,experiment,no,related concept,3,,yes,,,,,,,full-text,ft_file=VC-Soup: Value-Consistency Guided Multi-Value Alignment for Large Language Models.pdf
P162,Hierarchical process-level generative reward modeling with adaptive long-horizon reasoning for robust LLM alignment,"Chen, S.; Liu, Y.",2026,Information Processing and Management,10.1016/j.ipm.2026.104957,other,value alignment; interpretability; robustness; capabilities,other,probability; optimization,,not_applicable,no,no,5,,yes,,,,,,0,full-text,ft_file=Hierarchical process-level generative reward modeling with adaptive long-horizon reasoning for robust LLM alignment.pdf
